date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:15	30938/30938	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Feb%202026%2009:39:15%20GMT	https://wjw.sz.gov.cn/jyzx/index.html	D:/repo/greybay/wjw.sz.gov.cn/jyzx/index.html	(from )
17:39:15	1464/1464	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624d7a8a-5b8%22	http://statistics.gd.gov.cn/scripts/s.js?t=1770602299	D:/repo/greybay/statistics.gd.gov.cn/scripts/s527b.js	(from https://wjw.sz.gov.cn/jyzx/index.html)
17:39:16	17759/17759	---MCZ	200	added ('OK')	text/css	etag:W/%2266bde040-455f%22	https://wjw.sz.gov.cn/ztimages/swiper.min20200426.css	D:/repo/greybay/wjw.sz.gov.cn/ztimages/swiper.min20200426.css	(from https://wjw.sz.gov.cn/jyzx/index.html)
17:39:16	10798/10798	---MCZ	200	added ('OK')	text/css	etag:W/%2266bde033-2a2e%22	https://wjw.sz.gov.cn/ztimages/global20200426.css	D:/repo/greybay/wjw.sz.gov.cn/ztimages/global20200426.css	(from https://wjw.sz.gov.cn/jyzx/index.html)
17:39:16	3594/3594	---MCZ	200	added ('OK')	text/css	etag:W/%2266bde03c-e0a%22	https://wjw.sz.gov.cn/ztimages/layout20200426.css	D:/repo/greybay/wjw.sz.gov.cn/ztimages/layout20200426.css	(from https://wjw.sz.gov.cn/jyzx/index.html)
17:39:16	89923/89923	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266bde03d-15f43%22	https://wjw.sz.gov.cn/js/jquery-3.4.0.min.js	D:/repo/greybay/wjw.sz.gov.cn/js/jquery-3.4.0.min.js	(from https://wjw.sz.gov.cn/jyzx/index.html)
17:39:16	1229/1229	---MCZ	200	added ('OK')	image/png	etag:W/%2266bde044-4cd%22	https://wjw.sz.gov.cn/ztimages/jkfzyd20200426_30.png	D:/repo/greybay/wjw.sz.gov.cn/ztimages/jkfzyd20200426_30.png	(from https://wjw.sz.gov.cn/jyzx/index.html)
17:39:17	1225/1225	---MCZ	200	added ('OK')	image/png	etag:W/%2266bde037-4c9%22	https://wjw.sz.gov.cn/ztimages/jkfzyd20200426_15.png	D:/repo/greybay/wjw.sz.gov.cn/ztimages/jkfzyd20200426_15.png	(from https://wjw.sz.gov.cn/jyzx/index.html)
17:39:17	2601/2601	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266bde034-a29%22	https://wjw.sz.gov.cn/js/20190911_wailian_tanchuangkuang_js.js	D:/repo/greybay/wjw.sz.gov.cn/js/20190911_wailian_tanchuangkuang_js.js	(from https://wjw.sz.gov.cn/jyzx/index.html)
17:39:17	5184/5184	---MCZ	200	added ('OK')	text/css	etag:W/%2266bde034-1440%22	https://wjw.sz.gov.cn/css/20190911_wailian_tanchukuang_css.css	D:/repo/greybay/wjw.sz.gov.cn/css/20190911_wailian_tanchukuang_css.css	(from https://wjw.sz.gov.cn/jyzx/index.html)
